epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,849.669,0.65561,0.44497,0.85473,0.98365,0.99789,0.99282,0.87739,0.48987,0.32721,0.80711,0.00068181,0.00068181,0.00068181
57,864.569,0.65519,0.44651,0.86212,0.98412,0.99203,0.99332,0.87233,0.47908,0.33203,0.8017,0.000679062,0.000679062,0.000679062
58,879.524,0.65014,0.45142,0.85689,0.98922,0.97427,0.9915,0.88028,0.46397,0.32461,0.80195,0.000676313,0.000676313,0.000676313
59,894.541,0.65323,0.44743,0.86021,0.966,0.99927,0.99367,0.88506,0.4616,0.32329,0.8039,0.000673564,0.000673564,0.000673564
60,909.568,0.64489,0.42243,0.85716,0.97798,0.99405,0.99397,0.86168,0.50249,0.33905,0.81009,0.000670815,0.000670815,0.000670815
61,924.646,0.64999,0.43441,0.86285,0.98969,0.98944,0.995,0.88528,0.46617,0.3321,0.81279,0.000668066,0.000668066,0.000668066
62,939.774,0.62325,0.43283,0.85712,0.98404,0.97124,0.99118,0.88094,0.43671,0.32027,0.80424,0.000665317,0.000665317,0.000665317
63,954.835,0.63967,0.42397,0.84926,0.98113,0.9849,0.99427,0.88125,0.48245,0.3266,0.80168,0.000662568,0.000662568,0.000662568
64,969.946,0.64781,0.42974,0.85517,0.98603,1,0.995,0.87144,0.48515,0.31632,0.8052,0.000659819,0.000659819,0.000659819
65,985.095,0.6631,0.42423,0.85452,0.97852,0.9912,0.99362,0.8785,0.47431,0.32272,0.80692,0.00065707,0.00065707,0.00065707
66,1000.09,0.63866,0.41441,0.85043,0.95484,0.98986,0.99198,0.88198,0.45288,0.33632,0.80228,0.000654321,0.000654321,0.000654321
67,1015.07,0.63581,0.43777,0.86122,0.97944,0.98844,0.9936,0.86393,0.49872,0.32582,0.80321,0.000651573,0.000651573,0.000651573
68,1030.15,0.61687,0.43556,0.85957,0.98235,0.99405,0.99477,0.89028,0.43071,0.31109,0.79781,0.000648824,0.000648824,0.000648824
69,1045.13,0.60492,0.41063,0.84888,0.98441,0.9998,0.99487,0.89199,0.44085,0.3178,0.79665,0.000646075,0.000646075,0.000646075
70,1060.36,0.62348,0.42036,0.84704,0.97271,0.99405,0.99315,0.87578,0.46748,0.32027,0.79866,0.000643326,0.000643326,0.000643326
71,1075.44,0.62479,0.41431,0.85354,0.96721,0.99366,0.99191,0.86,0.49881,0.30797,0.7986,0.000640577,0.000640577,0.000640577
72,1090.53,0.61181,0.41736,0.85524,0.98049,0.99405,0.99359,0.88464,0.45543,0.30914,0.79674,0.000637828,0.000637828,0.000637828
73,1105.42,0.61655,0.42387,0.85398,0.9899,0.99818,0.995,0.88636,0.46112,0.30614,0.802,0.000635079,0.000635079,0.000635079
74,1120.33,0.61476,0.40591,0.84835,0.98523,0.9988,0.99384,0.88532,0.44772,0.30506,0.79724,0.00063233,0.00063233,0.00063233
75,1135.31,0.60666,0.41553,0.8539,0.97267,0.99575,0.99348,0.89055,0.42132,0.29242,0.79065,0.000629581,0.000629581,0.000629581
76,1150.34,0.61381,0.41221,0.85581,0.98137,0.99405,0.99402,0.86741,0.50197,0.32243,0.80729,0.000626832,0.000626832,0.000626832
77,1165.44,0.62843,0.4134,0.85419,0.98364,0.98613,0.99223,0.89624,0.42285,0.30038,0.79223,0.000624084,0.000624084,0.000624084
78,1180.61,0.59956,0.4106,0.84873,0.98044,0.99989,0.995,0.88522,0.47675,0.3201,0.80448,0.000621335,0.000621335,0.000621335
79,1195.84,0.63137,0.42433,0.84798,0.96381,1,0.99313,0.88175,0.46755,0.31834,0.80106,0.000618586,0.000618586,0.000618586
80,1210.79,0.61657,0.41432,0.84901,0.98138,0.99045,0.9936,0.88535,0.44569,0.2987,0.79777,0.000615837,0.000615837,0.000615837
81,1226,0.6094,0.40712,0.84698,0.98041,1,0.99483,0.88165,0.46879,0.30862,0.79695,0.000613088,0.000613088,0.000613088
82,1241.19,0.60495,0.41116,0.84231,0.98706,0.99828,0.99498,0.8953,0.4406,0.30073,0.7991,0.000610339,0.000610339,0.000610339
83,1256.28,0.60866,0.40527,0.84498,0.97221,0.98704,0.99196,0.89277,0.44676,0.30374,0.79976,0.00060759,0.00060759,0.00060759
84,1271.41,0.59817,0.3979,0.84741,0.96517,0.99054,0.99437,0.86863,0.52953,0.32884,0.80819,0.000604841,0.000604841,0.000604841
85,1286.4,0.59451,0.40501,0.84354,0.98781,0.99166,0.99498,0.8823,0.47743,0.31051,0.80304,0.000602092,0.000602092,0.000602092
86,1301.48,0.61475,0.41218,0.8471,0.98395,0.99599,0.995,0.90369,0.41923,0.30198,0.80193,0.000599343,0.000599343,0.000599343
87,1316.62,0.60464,0.40709,0.85271,0.97834,0.98249,0.99313,0.88595,0.45288,0.29506,0.80495,0.000596595,0.000596595,0.000596595
88,1331.61,0.60252,0.40927,0.84382,0.98184,0.99323,0.99278,0.89191,0.43847,0.29903,0.79281,0.000593846,0.000593846,0.000593846
89,1346.47,0.6012,0.40274,0.84337,0.98191,0.98737,0.99408,0.88649,0.42196,0.30102,0.79274,0.000591097,0.000591097,0.000591097
90,1361.49,0.60654,0.40603,0.84519,0.98097,0.98698,0.99222,0.88946,0.41608,0.2878,0.79428,0.000588348,0.000588348,0.000588348
91,1376.55,0.57799,0.38368,0.8411,0.99484,0.98087,0.99348,0.88728,0.50608,0.32084,0.80432,0.000585599,0.000585599,0.000585599
92,1391.68,0.60212,0.41389,0.83978,0.98849,0.99917,0.995,0.89446,0.43093,0.29313,0.79582,0.00058285,0.00058285,0.00058285
93,1406.89,0.60552,0.41259,0.84751,0.98,0.98937,0.9939,0.9032,0.39146,0.28215,0.79443,0.000580101,0.000580101,0.000580101
94,1422.25,0.58118,0.39072,0.84163,0.97844,0.98896,0.99477,0.89106,0.41552,0.28837,0.7954,0.000577352,0.000577352,0.000577352
95,1437.3,0.58948,0.39813,0.84519,0.98571,0.98902,0.995,0.90063,0.4163,0.28239,0.79616,0.000574603,0.000574603,0.000574603
96,1452.31,0.58385,0.39672,0.84078,0.98546,0.99471,0.99483,0.90319,0.40288,0.29035,0.79269,0.000571854,0.000571854,0.000571854
97,1467.41,0.57899,0.38904,0.8311,0.98389,0.9913,0.9942,0.90047,0.41665,0.28213,0.79548,0.000569106,0.000569106,0.000569106
98,1482.42,0.59631,0.40484,0.84029,0.98809,0.98986,0.99438,0.89458,0.40564,0.28555,0.79099,0.000566357,0.000566357,0.000566357
99,1497.43,0.57566,0.38956,0.83883,0.97955,0.9881,0.99408,0.90212,0.40857,0.28552,0.78867,0.000563608,0.000563608,0.000563608
100,1512.45,0.57692,0.38026,0.83757,0.98099,0.98981,0.995,0.89252,0.41772,0.2831,0.79047,0.000560859,0.000560859,0.000560859
101,1527.75,0.57918,0.38732,0.83452,0.98979,0.98506,0.995,0.88943,0.44545,0.294,0.80399,0.00055811,0.00055811,0.00055811
102,1542.89,0.57508,0.38314,0.84481,0.98054,0.99526,0.99369,0.89643,0.43986,0.29574,0.79488,0.000555361,0.000555361,0.000555361
103,1557.89,0.56675,0.37626,0.83394,0.98624,0.9881,0.99449,0.90377,0.38775,0.28204,0.79028,0.000552612,0.000552612,0.000552612
104,1573.19,0.56219,0.3828,0.83462,0.98478,0.99161,0.99475,0.90235,0.42241,0.28638,0.7935,0.000549863,0.000549863,0.000549863
105,1588.27,0.56573,0.39381,0.84014,0.98638,0.9881,0.995,0.89548,0.42504,0.2794,0.79144,0.000547114,0.000547114,0.000547114
106,1603.42,0.57513,0.38329,0.83212,0.99135,0.98994,0.99475,0.90827,0.39031,0.26934,0.78622,0.000544365,0.000544365,0.000544365
107,1618.62,0.55667,0.36907,0.83039,0.98442,0.99358,0.99487,0.90463,0.40318,0.27523,0.792,0.000541617,0.000541617,0.000541617
108,1633.89,0.56626,0.39032,0.83883,0.97783,0.99973,0.99313,0.90499,0.43392,0.28225,0.79486,0.000538868,0.000538868,0.000538868
109,1649.07,0.53888,0.36707,0.83441,0.98018,0.99157,0.99443,0.91097,0.40213,0.27735,0.79079,0.000536119,0.000536119,0.000536119
110,1664.24,0.55334,0.37702,0.83172,0.98313,0.99488,0.99498,0.90806,0.38739,0.27408,0.79128,0.00053337,0.00053337,0.00053337
111,1679.33,0.57537,0.38708,0.83898,0.97543,0.99986,0.99367,0.91094,0.41465,0.29192,0.79322,0.000530621,0.000530621,0.000530621
112,1694.45,0.55836,0.36897,0.82979,0.98567,0.98841,0.99477,0.89431,0.42876,0.28218,0.79349,0.000527872,0.000527872,0.000527872
113,1709.39,0.5681,0.38319,0.83003,0.97834,0.99934,0.99498,0.91472,0.38253,0.27062,0.78771,0.000525123,0.000525123,0.000525123
114,1724.53,0.54637,0.36561,0.83868,0.98633,0.99471,0.99492,0.89655,0.42009,0.2767,0.79115,0.000522374,0.000522374,0.000522374
115,1739.75,0.55523,0.37201,0.83046,0.97971,0.99449,0.99498,0.91396,0.39036,0.27237,0.791,0.000519625,0.000519625,0.000519625
116,1754.79,0.55699,0.37527,0.83131,0.98413,0.99405,0.99457,0.89773,0.43824,0.28816,0.79527,0.000516877,0.000516877,0.000516877
117,1769.79,0.54816,0.3653,0.83117,0.97946,0.99159,0.99457,0.89955,0.41849,0.27583,0.78987,0.000514128,0.000514128,0.000514128
118,1784.71,0.54673,0.35912,0.83095,0.98684,0.98941,0.99498,0.90896,0.409,0.27087,0.78997,0.000511379,0.000511379,0.000511379
119,1799.85,0.55946,0.36939,0.83469,0.98541,0.989,0.99455,0.90587,0.38653,0.27356,0.79083,0.00050863,0.00050863,0.00050863
120,1814.9,0.53997,0.35958,0.8362,0.98731,0.98836,0.99487,0.91776,0.38243,0.27115,0.79171,0.000505881,0.000505881,0.000505881
121,1830,0.54716,0.37336,0.82459,0.98688,0.99844,0.99498,0.8984,0.41017,0.27269,0.79229,0.000503132,0.000503132,0.000503132
122,1845.25,0.5408,0.36105,0.83319,0.99219,0.99738,0.995,0.91659,0.38621,0.2573,0.7911,0.000500383,0.000500383,0.000500383
123,1860.31,0.54955,0.36105,0.83209,0.98295,0.99405,0.99475,0.90672,0.40318,0.26831,0.79239,0.000497634,0.000497634,0.000497634
124,1875.6,0.54765,0.37984,0.83693,0.98985,0.99891,0.99498,0.90374,0.38659,0.27266,0.79088,0.000494885,0.000494885,0.000494885
125,1890.79,0.52574,0.35552,0.82878,0.9895,0.98898,0.99455,0.90748,0.39646,0.27215,0.79387,0.000492136,0.000492136,0.000492136
126,1905.88,0.52889,0.36492,0.8364,0.98169,0.995,0.99498,0.91039,0.40933,0.27969,0.79203,0.000489387,0.000489387,0.000489387
127,1920.74,0.53931,0.3649,0.82752,0.98437,0.98982,0.995,0.88849,0.43139,0.27977,0.79334,0.000486639,0.000486639,0.000486639
128,1935.78,0.56322,0.37078,0.84171,0.98354,0.99621,0.99483,0.90083,0.40339,0.2719,0.79172,0.00048389,0.00048389,0.00048389
129,1950.9,0.54279,0.36861,0.82726,0.98388,0.99554,0.995,0.90786,0.40161,0.26697,0.78982,0.000481141,0.000481141,0.000481141
130,1966.06,0.53626,0.36173,0.82701,0.97332,1,0.995,0.90121,0.39876,0.27184,0.79288,0.000478392,0.000478392,0.000478392
131,1981.2,0.52417,0.35736,0.82667,0.988,0.99534,0.995,0.91027,0.37584,0.26725,0.78555,0.000475643,0.000475643,0.000475643
132,1996.2,0.54863,0.3671,0.83039,0.97787,0.9944,0.995,0.89967,0.41071,0.2714,0.78698,0.000472894,0.000472894,0.000472894
133,2011.25,0.52813,0.35844,0.82559,0.9811,0.99514,0.995,0.89496,0.40176,0.26963,0.78871,0.000470145,0.000470145,0.000470145
134,2026.35,0.52797,0.36032,0.81948,0.98346,0.98855,0.99477,0.9231,0.35756,0.25715,0.78637,0.000467396,0.000467396,0.000467396
135,2041.46,0.53407,0.35034,0.83228,0.98428,0.99125,0.99477,0.92175,0.37485,0.25761,0.78959,0.000464647,0.000464647,0.000464647
136,2056.64,0.53141,0.36513,0.82874,0.98407,1,0.995,0.91029,0.39347,0.2663,0.78743,0.000461898,0.000461898,0.000461898
137,2071.82,0.53705,0.36015,0.82583,0.9861,0.99789,0.995,0.91738,0.37311,0.25591,0.78649,0.00045915,0.00045915,0.00045915
138,2086.86,0.5216,0.35795,0.83552,0.98082,0.99706,0.99488,0.91867,0.38729,0.26491,0.78741,0.000456401,0.000456401,0.000456401
139,2102,0.51278,0.34914,0.82312,0.98464,0.9919,0.99477,0.90943,0.40777,0.27669,0.78994,0.000453652,0.000453652,0.000453652
140,2117.24,0.54154,0.36443,0.82582,0.98647,0.98931,0.99457,0.90953,0.412,0.27193,0.79148,0.000450903,0.000450903,0.000450903
141,2132.16,0.50731,0.34069,0.81809,0.98907,0.99664,0.995,0.91171,0.38925,0.25831,0.78818,0.000448154,0.000448154,0.000448154
142,2147.26,0.51149,0.34442,0.82903,0.98207,0.99212,0.99457,0.90507,0.42734,0.27063,0.79224,0.000445405,0.000445405,0.000445405
143,2162.36,0.53551,0.35797,0.82184,0.99069,0.98228,0.99477,0.913,0.3873,0.26343,0.7883,0.000442656,0.000442656,0.000442656
144,2177.3,0.52512,0.34422,0.8218,0.98563,0.99409,0.995,0.91927,0.38053,0.25561,0.78872,0.000439907,0.000439907,0.000439907
145,2192.34,0.52597,0.34182,0.83096,0.98767,0.99586,0.995,0.9154,0.35273,0.24928,0.78228,0.000437158,0.000437158,0.000437158
146,2207.45,0.50991,0.35345,0.82747,0.98821,0.98879,0.995,0.92158,0.35994,0.25441,0.78497,0.000434409,0.000434409,0.000434409
147,2222.56,0.52872,0.34963,0.8236,0.98492,0.98648,0.995,0.92419,0.34928,0.24734,0.78504,0.000431661,0.000431661,0.000431661
148,2237.7,0.5149,0.35414,0.83001,0.994,0.97712,0.99438,0.91595,0.37366,0.2543,0.7871,0.000428912,0.000428912,0.000428912
149,2252.59,0.50189,0.34967,0.82273,0.99021,0.98827,0.99477,0.91238,0.38042,0.25573,0.78662,0.000426163,0.000426163,0.000426163
150,2267.89,0.52286,0.35885,0.82778,0.98787,0.99405,0.99477,0.93297,0.3235,0.24487,0.78321,0.000423414,0.000423414,0.000423414
151,2282.95,0.52065,0.34447,0.82584,0.97644,1,0.995,0.92097,0.37634,0.25393,0.78749,0.000420665,0.000420665,0.000420665
152,2298.07,0.51328,0.35583,0.81885,0.98077,0.98954,0.995,0.92352,0.37273,0.25701,0.7879,0.000417916,0.000417916,0.000417916
153,2313.18,0.50747,0.33972,0.82303,0.98794,0.9881,0.99449,0.92521,0.35812,0.26097,0.79063,0.000415167,0.000415167,0.000415167
154,2328.18,0.52438,0.36273,0.83534,0.97039,0.99196,0.99477,0.92717,0.36312,0.26424,0.78825,0.000412418,0.000412418,0.000412418
155,2343.3,0.5162,0.34592,0.83247,0.98067,0.99851,0.995,0.92097,0.36283,0.25575,0.78807,0.000409669,0.000409669,0.000409669
156,2358.26,0.48888,0.33834,0.82684,0.97862,0.99813,0.995,0.9224,0.37587,0.25354,0.78759,0.00040692,0.00040692,0.00040692
157,2373.14,0.51362,0.35518,0.82117,0.98731,1,0.995,0.91814,0.37195,0.25626,0.78397,0.000404172,0.000404172,0.000404172
158,2388.24,0.49672,0.33571,0.8191,0.98239,0.99549,0.995,0.91252,0.38877,0.24688,0.78579,0.000401423,0.000401423,0.000401423
159,2403.42,0.51762,0.34708,0.82501,0.98099,0.998,0.995,0.92575,0.37747,0.25953,0.7868,0.000398674,0.000398674,0.000398674
160,2418.52,0.52096,0.35569,0.81566,0.98104,1,0.995,0.92762,0.35149,0.24381,0.78611,0.000395925,0.000395925,0.000395925
161,2433.52,0.49223,0.33676,0.82524,0.98612,0.99425,0.995,0.93444,0.34144,0.24306,0.78169,0.000393176,0.000393176,0.000393176
162,2448.73,0.50763,0.34083,0.82282,0.97627,1,0.995,0.92726,0.337,0.24652,0.78364,0.000390427,0.000390427,0.000390427
163,2463.98,0.49901,0.3328,0.81147,0.98387,1,0.995,0.91837,0.37239,0.25203,0.78816,0.000387678,0.000387678,0.000387678
164,2479.02,0.50418,0.34443,0.8258,0.9821,0.99758,0.99496,0.92694,0.34861,0.2445,0.7862,0.000384929,0.000384929,0.000384929
165,2494.01,0.49962,0.34582,0.81878,0.98541,0.99617,0.995,0.9139,0.38381,0.24988,0.78673,0.00038218,0.00038218,0.00038218
166,2509.17,0.51385,0.3423,0.82145,0.98759,0.98386,0.995,0.92586,0.3382,0.23846,0.78482,0.000379431,0.000379431,0.000379431
167,2524.23,0.51814,0.34796,0.8284,0.98627,0.99882,0.99498,0.92385,0.3892,0.25186,0.78566,0.000376683,0.000376683,0.000376683
168,2539.21,0.49785,0.33616,0.82391,0.98532,0.98864,0.99475,0.93069,0.32934,0.23628,0.78064,0.000373934,0.000373934,0.000373934
169,2554.31,0.49896,0.34005,0.81878,0.98411,1,0.99498,0.92173,0.35931,0.24859,0.78222,0.000371185,0.000371185,0.000371185
170,2569.68,0.49618,0.3393,0.81545,0.97981,0.99415,0.995,0.92781,0.33429,0.24123,0.78299,0.000368436,0.000368436,0.000368436
171,2584.6,0.47949,0.32602,0.81896,0.98053,1,0.99498,0.9317,0.35247,0.24933,0.78732,0.000365687,0.000365687,0.000365687
172,2599.69,0.49155,0.32963,0.81988,0.99291,0.97728,0.995,0.91956,0.3725,0.26059,0.78597,0.000362938,0.000362938,0.000362938
173,2614.71,0.49096,0.33233,0.82116,0.99079,0.98975,0.99475,0.93009,0.35904,0.24712,0.78684,0.000360189,0.000360189,0.000360189
174,2629.84,0.49131,0.32917,0.81808,0.98969,1,0.995,0.9213,0.35997,0.25008,0.78325,0.00035744,0.00035744,0.00035744
175,2644.89,0.49063,0.32419,0.82235,0.9857,0.99663,0.99498,0.93085,0.35127,0.2466,0.78559,0.000354691,0.000354691,0.000354691
176,2660.01,0.50405,0.33684,0.8209,0.98511,0.99435,0.99498,0.92031,0.34457,0.23981,0.78543,0.000351942,0.000351942,0.000351942
177,2675.09,0.49996,0.34145,0.81693,0.98776,0.99613,0.99498,0.9315,0.32867,0.24048,0.78183,0.000349194,0.000349194,0.000349194
178,2690.32,0.50694,0.34365,0.81889,0.98915,0.98854,0.99477,0.92253,0.3394,0.2413,0.78407,0.000346445,0.000346445,0.000346445
179,2705.38,0.47518,0.31491,0.82139,0.98951,0.98874,0.99475,0.93697,0.34709,0.24481,0.78537,0.000343696,0.000343696,0.000343696
180,2720.49,0.48561,0.32452,0.82648,0.97573,0.99688,0.995,0.92417,0.35532,0.24256,0.78277,0.000340947,0.000340947,0.000340947
181,2735.69,0.48194,0.32376,0.81257,0.98806,0.99405,0.99477,0.92582,0.33057,0.23186,0.78177,0.000338198,0.000338198,0.000338198
182,2750.69,0.49166,0.34071,0.82598,0.98763,0.99498,0.995,0.92932,0.3432,0.23705,0.78129,0.000335449,0.000335449,0.000335449
183,2765.68,0.49984,0.32381,0.8177,0.98486,1,0.995,0.92205,0.35444,0.23983,0.78434,0.0003327,0.0003327,0.0003327
184,2780.69,0.49362,0.3332,0.82018,0.99141,0.98503,0.995,0.92309,0.34891,0.23595,0.78218,0.000329951,0.000329951,0.000329951
