epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,565.152,0.67086,0.45983,0.868,0.96426,1,0.99235,0.86611,0.45978,0.33505,0.81456,0.000687308,0.000687308,0.000687308
55,574.974,0.66834,0.45904,0.86066,0.9604,0.97934,0.99247,0.89085,0.43617,0.32224,0.80559,0.000684559,0.000684559,0.000684559
56,584.996,0.65299,0.46645,0.85312,0.96717,0.98992,0.9925,0.8726,0.47238,0.34287,0.80923,0.00068181,0.00068181,0.00068181
57,594.977,0.66264,0.45835,0.86092,0.9748,0.99261,0.99047,0.85921,0.48668,0.35049,0.80962,0.000679062,0.000679062,0.000679062
58,605.119,0.64484,0.45602,0.85257,0.98115,0.99636,0.99466,0.87842,0.45798,0.33483,0.80361,0.000676313,0.000676313,0.000676313
59,615.181,0.67428,0.46651,0.8631,0.98613,0.96901,0.99222,0.87139,0.47253,0.34288,0.81123,0.000673564,0.000673564,0.000673564
60,625.3,0.66851,0.44322,0.85737,0.98828,0.99405,0.99404,0.87198,0.48737,0.33754,0.80591,0.000670815,0.000670815,0.000670815
61,635.393,0.65829,0.43951,0.8593,0.97377,0.98508,0.98739,0.85566,0.49763,0.34668,0.81861,0.000668066,0.000668066,0.000668066
62,645.514,0.66028,0.45508,0.86344,0.98406,0.97767,0.99052,0.86376,0.49542,0.34366,0.81699,0.000665317,0.000665317,0.000665317
63,655.607,0.6637,0.44332,0.85507,0.94825,1,0.98205,0.85696,0.50481,0.34417,0.81364,0.000662568,0.000662568,0.000662568
64,665.709,0.66478,0.45198,0.86085,0.98365,1,0.995,0.87879,0.49686,0.34167,0.81187,0.000659819,0.000659819,0.000659819
65,675.828,0.66571,0.44512,0.85741,0.97395,0.99749,0.99231,0.87344,0.50614,0.3398,0.81351,0.00065707,0.00065707,0.00065707
66,685.766,0.62911,0.42175,0.85207,0.95425,0.99087,0.98087,0.85178,0.50718,0.33102,0.81093,0.000654321,0.000654321,0.000654321
