epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1485.77,0.62246,0.4184,0.8541,0.9872,0.9892,0.99375,0.89793,0.40197,0.29302,0.81096,0.00063233,0.00063233,0.00063233
75,1505.77,0.60127,0.41934,0.86487,0.97837,0.99405,0.99187,0.90358,0.4178,0.29876,0.81227,0.000629581,0.000629581,0.000629581
76,1525.76,0.58215,0.40658,0.86367,0.9879,0.9945,0.995,0.89667,0.41973,0.28424,0.80973,0.000626832,0.000626832,0.000626832
77,1545.88,0.5945,0.42544,0.86437,0.99073,0.99405,0.9942,0.90352,0.40085,0.28832,0.80933,0.000624084,0.000624084,0.000624084
78,1565.93,0.56806,0.3988,0.85072,0.98722,0.99405,0.99477,0.90365,0.41772,0.28544,0.81444,0.000621335,0.000621335,0.000621335
79,1586.12,0.58427,0.41063,0.85625,0.98896,0.99087,0.99477,0.90955,0.40325,0.29302,0.81033,0.000618586,0.000618586,0.000618586
80,1606.49,0.60295,0.43129,0.86798,0.99191,0.98684,0.99309,0.8976,0.40719,0.29048,0.81388,0.000615837,0.000615837,0.000615837
81,1626.75,0.56012,0.40352,0.8503,0.98134,0.99306,0.99249,0.90535,0.39678,0.28166,0.80595,0.000613088,0.000613088,0.000613088
82,1646.91,0.60338,0.41392,0.86026,0.97877,0.99405,0.99457,0.91622,0.403,0.29051,0.8095,0.000610339,0.000610339,0.000610339
83,1667.16,0.57063,0.39144,0.85091,0.98661,0.98214,0.99187,0.90887,0.41464,0.2935,0.81074,0.00060759,0.00060759,0.00060759
84,1687.27,0.5945,0.42162,0.85779,0.98775,0.98439,0.99332,0.89662,0.41637,0.29968,0.81213,0.000604841,0.000604841,0.000604841
85,1707.48,0.5706,0.40824,0.84593,0.97272,0.9911,0.99031,0.8961,0.41131,0.2865,0.80703,0.000602092,0.000602092,0.000602092
86,1727.66,0.57561,0.41314,0.8563,0.97916,0.98443,0.99096,0.90593,0.40637,0.28936,0.80504,0.000599343,0.000599343,0.000599343
87,1748.09,0.58161,0.4082,0.8569,0.98321,0.98714,0.99241,0.90632,0.39989,0.27944,0.80753,0.000596595,0.000596595,0.000596595
88,1768.36,0.58086,0.40669,0.84687,0.98999,0.98547,0.99357,0.90156,0.41877,0.28493,0.81021,0.000593846,0.000593846,0.000593846
89,1788.55,0.58335,0.41014,0.85609,0.98335,0.99077,0.99309,0.9127,0.39848,0.27618,0.80608,0.000591097,0.000591097,0.000591097
90,1808.48,0.57419,0.39676,0.8481,0.98511,0.99405,0.99276,0.90579,0.40476,0.2839,0.8107,0.000588348,0.000588348,0.000588348
91,1828.61,0.59335,0.41218,0.85759,0.97562,0.9992,0.99348,0.90471,0.39396,0.28514,0.80433,0.000585599,0.000585599,0.000585599
92,1848.82,0.56136,0.40491,0.85127,0.99265,0.99388,0.99284,0.89223,0.39739,0.27652,0.80447,0.00058285,0.00058285,0.00058285
93,1869.03,0.56003,0.39319,0.84132,0.98136,0.99273,0.99284,0.88499,0.40696,0.2827,0.8089,0.000580101,0.000580101,0.000580101
94,1889.1,0.5577,0.39536,0.85023,0.9893,0.99325,0.99438,0.91718,0.38722,0.27369,0.8057,0.000577352,0.000577352,0.000577352
95,1909.38,0.57172,0.3911,0.84602,0.98551,0.99405,0.99339,0.91502,0.37622,0.27425,0.80103,0.000574603,0.000574603,0.000574603
96,1929.36,0.5386,0.37454,0.84371,0.98582,0.98797,0.99449,0.92546,0.37236,0.27193,0.80609,0.000571854,0.000571854,0.000571854
97,1949.56,0.55526,0.38182,0.85053,0.98843,0.99439,0.995,0.90104,0.40981,0.27995,0.81101,0.000569106,0.000569106,0.000569106
98,1969.59,0.56197,0.38631,0.84871,0.97975,0.99405,0.99438,0.9096,0.3732,0.27114,0.80045,0.000566357,0.000566357,0.000566357
99,1989.57,0.5632,0.40142,0.8502,0.98968,0.98741,0.99345,0.90433,0.38435,0.26769,0.80502,0.000563608,0.000563608,0.000563608
100,2009.61,0.54104,0.38575,0.83334,0.98587,0.98963,0.9925,0.90122,0.42921,0.2901,0.81025,0.000560859,0.000560859,0.000560859
101,2029.63,0.54648,0.37006,0.8392,0.99272,0.99306,0.99404,0.90555,0.43374,0.27139,0.80945,0.00055811,0.00055811,0.00055811
102,2049.93,0.5556,0.39688,0.84935,0.99356,0.99232,0.9935,0.91236,0.40185,0.27664,0.80365,0.000555361,0.000555361,0.000555361
103,2070.02,0.5593,0.39669,0.84748,0.981,0.9881,0.99145,0.89688,0.41109,0.27371,0.80433,0.000552612,0.000552612,0.000552612
104,2090.18,0.55218,0.37949,0.83868,0.99272,0.99405,0.99318,0.91232,0.38616,0.2703,0.79945,0.000549863,0.000549863,0.000549863
105,2110.11,0.54759,0.3865,0.84334,0.98766,0.99183,0.99239,0.89513,0.40427,0.27001,0.80146,0.000547114,0.000547114,0.000547114
106,2130.29,0.54672,0.3781,0.84227,0.98628,0.99395,0.99214,0.91173,0.3924,0.26956,0.80087,0.000544365,0.000544365,0.000544365
107,2150.44,0.54173,0.38126,0.84251,0.98807,0.99405,0.99228,0.92274,0.36499,0.25661,0.79953,0.000541617,0.000541617,0.000541617
108,2170.42,0.54466,0.38218,0.83476,0.9884,0.99365,0.99081,0.91335,0.38922,0.2632,0.80331,0.000538868,0.000538868,0.000538868
109,2190.46,0.54005,0.37946,0.83612,0.98637,0.99405,0.99309,0.91476,0.38806,0.26703,0.80037,0.000536119,0.000536119,0.000536119
110,2210.64,0.54272,0.37424,0.84268,0.99338,0.99141,0.99292,0.90378,0.41136,0.27647,0.79911,0.00053337,0.00053337,0.00053337
111,2230.94,0.53107,0.38463,0.8446,0.9894,0.99354,0.9935,0.91372,0.36404,0.25762,0.79674,0.000530621,0.000530621,0.000530621
112,2251.02,0.55135,0.38537,0.84253,0.992,0.9935,0.99389,0.91778,0.37341,0.26114,0.79886,0.000527872,0.000527872,0.000527872
113,2270.97,0.52882,0.37953,0.83926,0.9918,0.99369,0.99438,0.92423,0.36079,0.25685,0.79824,0.000525123,0.000525123,0.000525123
114,2291.08,0.52473,0.37511,0.83314,0.98663,0.9918,0.99309,0.9207,0.3677,0.26092,0.79818,0.000522374,0.000522374,0.000522374
115,2311.22,0.55232,0.36912,0.83861,0.97391,0.99405,0.99367,0.91044,0.37569,0.26104,0.79745,0.000519625,0.000519625,0.000519625
116,2331.43,0.53926,0.36717,0.83949,0.98914,0.99502,0.995,0.90602,0.38954,0.26631,0.79846,0.000516877,0.000516877,0.000516877
117,2351.53,0.54044,0.39936,0.84188,0.99032,0.98936,0.99477,0.91844,0.36613,0.26816,0.80046,0.000514128,0.000514128,0.000514128
118,2371.6,0.51495,0.36477,0.83143,0.98168,0.99038,0.99457,0.91809,0.34681,0.25797,0.79909,0.000511379,0.000511379,0.000511379
119,2391.76,0.51381,0.36126,0.834,0.98785,0.98986,0.99438,0.91299,0.39602,0.26562,0.81203,0.00050863,0.00050863,0.00050863
120,2412.01,0.5223,0.36755,0.83967,0.99025,0.99,0.995,0.90274,0.41634,0.2723,0.80489,0.000505881,0.000505881,0.000505881
121,2432.45,0.5271,0.37939,0.83931,0.98619,0.99405,0.99309,0.92287,0.37093,0.2629,0.7998,0.000503132,0.000503132,0.000503132
122,2452.45,0.55228,0.37979,0.84624,0.98971,0.99405,0.99389,0.92069,0.3758,0.25094,0.799,0.000500383,0.000500383,0.000500383
123,2472.72,0.52395,0.36731,0.8443,0.98916,0.991,0.9942,0.92154,0.37269,0.25473,0.799,0.000497634,0.000497634,0.000497634
124,2492.76,0.51296,0.3696,0.83252,0.99169,0.99476,0.99494,0.92255,0.36147,0.25022,0.79453,0.000494885,0.000494885,0.000494885
125,2512.96,0.52965,0.36043,0.83991,0.98736,0.99405,0.99432,0.92072,0.35091,0.25552,0.79196,0.000492136,0.000492136,0.000492136
126,2533.12,0.51941,0.37629,0.84051,0.98283,0.99539,0.99498,0.91839,0.35714,0.2567,0.79506,0.000489387,0.000489387,0.000489387
127,2553.18,0.52217,0.36407,0.84165,0.98588,0.99405,0.99398,0.92484,0.3466,0.25098,0.795,0.000486639,0.000486639,0.000486639
128,2573.27,0.51929,0.3616,0.82843,0.99299,0.99358,0.99404,0.9251,0.3583,0.2574,0.79613,0.00048389,0.00048389,0.00048389
129,2593.42,0.51157,0.35841,0.83908,0.9906,0.99405,0.99389,0.9257,0.37105,0.24975,0.79923,0.000481141,0.000481141,0.000481141
130,2613.46,0.52491,0.35983,0.84006,0.99055,0.99297,0.99262,0.91392,0.36022,0.25355,0.7958,0.000478392,0.000478392,0.000478392
131,2633.71,0.51547,0.36767,0.83451,0.99405,0.99405,0.99375,0.93637,0.34982,0.2476,0.79469,0.000475643,0.000475643,0.000475643
132,2653.69,0.52257,0.36377,0.83636,0.99406,0.99405,0.99375,0.92354,0.34802,0.24917,0.79376,0.000472894,0.000472894,0.000472894
133,2673.86,0.50486,0.35042,0.82702,0.99127,0.98949,0.99389,0.91978,0.36027,0.25298,0.7998,0.000470145,0.000470145,0.000470145
134,2693.94,0.51094,0.35865,0.83546,0.98435,0.9881,0.99374,0.9149,0.36815,0.24501,0.79735,0.000467396,0.000467396,0.000467396
135,2714.13,0.50606,0.35036,0.83314,0.98769,0.98557,0.99305,0.90625,0.39737,0.26104,0.79903,0.000464647,0.000464647,0.000464647
136,2734.44,0.51055,0.35281,0.83107,0.98928,0.98214,0.99287,0.91206,0.38445,0.26698,0.79807,0.000461898,0.000461898,0.000461898
137,2754.63,0.52138,0.36689,0.83804,0.99066,0.99405,0.99389,0.92045,0.35508,0.25631,0.7971,0.00045915,0.00045915,0.00045915
138,2774.98,0.5002,0.363,0.83075,0.99069,0.99405,0.9935,0.93386,0.33775,0.24915,0.79619,0.000456401,0.000456401,0.000456401
139,2795.55,0.49367,0.35358,0.83322,0.99167,0.99405,0.99404,0.924,0.38094,0.25412,0.79997,0.000453652,0.000453652,0.000453652
140,2815.72,0.50914,0.35164,0.82629,0.9881,0.99405,0.993,0.92987,0.34956,0.25244,0.79447,0.000450903,0.000450903,0.000450903
141,2836.07,0.52211,0.35682,0.83119,0.9898,0.98634,0.99281,0.92775,0.34463,0.24296,0.79415,0.000448154,0.000448154,0.000448154
142,2856.51,0.5064,0.35094,0.82858,0.98785,0.98777,0.99475,0.92052,0.35798,0.25112,0.79404,0.000445405,0.000445405,0.000445405
143,2876.83,0.49055,0.33503,0.82854,0.98471,0.98832,0.99408,0.92354,0.34578,0.23826,0.79335,0.000442656,0.000442656,0.000442656
144,2896.87,0.49551,0.35068,0.82819,0.99371,0.99157,0.99389,0.9321,0.32823,0.23624,0.79259,0.000439907,0.000439907,0.000439907
145,2916.83,0.50193,0.34598,0.82553,0.99438,0.99405,0.99339,0.92713,0.33916,0.23921,0.79033,0.000437158,0.000437158,0.000437158
146,2937.06,0.52327,0.35684,0.82888,0.99409,0.99405,0.99309,0.92237,0.34115,0.23943,0.79068,0.000434409,0.000434409,0.000434409
147,2957.12,0.49006,0.34142,0.82095,0.98352,0.9932,0.99326,0.9304,0.3349,0.23883,0.79578,0.000431661,0.000431661,0.000431661
148,2977.12,0.51624,0.362,0.84048,0.99059,0.9908,0.9942,0.92516,0.33275,0.23632,0.78977,0.000428912,0.000428912,0.000428912
149,2997.15,0.48717,0.34619,0.82313,0.99057,0.9939,0.9925,0.92479,0.33797,0.2376,0.79256,0.000426163,0.000426163,0.000426163
